iata,long,lat,airport
PIB,-89.3371,31.4671,Hattiesburg-Laurel Regional Airport
BZN,-111.153,45.7775,Bozeman Yellowstone International Airport (Gallatin Field)
PIR,-100.286,44.3827,Pierre Regional Airport
PIT,-80.2329,40.4915,Pittsburgh International Airport
BUR,-118.359,34.2007,Bob Hope Airport
BUF,-78.7322,42.9405,Buffalo Niagara International Airport
BTV,-73.1533,44.4719,Burlington International Airport
BTR,-91.1496,30.5332,Baton Rouge Metropolitan Airport (Ryan Field)
PNS,-87.1866,30.4734,Pensacola International Airport
BRO,-97.4259,25.9068,Brownsville/South Padre Island International Airport
BRL,-91.1255,40.7832,Southeast Iowa Regional Airport
BQN,-67.1294,18.4949,Rafael Hernandez Airport
BQK,-81.4665,31.2588,Brunswick Golden Isles Airport
BPT,-94.0207,29.9508,Jack Brooks Regional Airport
BOS,-71.0052,42.3643,Logan International Airport
BOI,-116.223,43.5644,Boise Air Terminal (Gowen Field)
BNA,-86.6782,36.1245,Nashville International Airport
BMI,-88.9159,40.4771,Central Illinois Regional Airport
PSC,-119.119,46.2647,Tri-Cities Airport
JLN,-94.4983,37.1518,Joplin Regional Airport
PSP,-116.507,33.8297,Palm Springs International Airport
BKG,-93.2005,36.5321,Branson Airport
BIS,-100.746,46.7727,Bismarck Municipal Airport
BIL,-108.543,45.8077,Billings Logan International Airport
PUB,-104.497,38.2891,Pueblo Memorial Airport
BHM,-86.7535,33.5629,Birmingham-Shuttlesworth International Airport
JAX,-81.6879,30.4941,Jacksonville International Airport
JAN,-90.0759,32.3112,Jackson-Evers International Airport
PVD,-71.4204,41.7326,Theodore Francis Green State Airport
JAC,-110.738,43.6073,Jackson Hole Airport
PWM,-70.3093,43.6462,Portland International Jetport
BFL,-119.057,35.4336,Meadows Field Airport
BFF,-103.596,41.874,Western Nebraska Regional Airport (William B. Heilig Field)
ITH,-76.4584,42.491,Ithaca Tompkins Regional Airport
ISN,-103.642,48.1779,Sloulin Field International Airport
RAP,-103.057,44.0453,Rapid City Regional Airport
RDM,-121.15,44.2541,Roberts Field
RDU,-78.7875,35.8776,Raleigh-Durham International Airport
ILM,-77.9026,34.2706,Wilmington International Airport
ILG,-75.6065,39.6787,Wilmington Airport (New Castle Airport)
RIC,-77.3197,37.5052,Richmond International Airport
RIW,-108.46,43.0642,Central Wyoming Regional Airport
RKS,-109.065,41.5942,Southwest Wyoming Regional Airport
ICT,-97.4331,37.6499,Wichita Dwight D. Eisenhower National Airport
RNO,-119.768,39.4991,Reno-Tahoe International Airport
IAH,-95.3414,29.9844,George Bush Intercontinental Airport
ROA,-79.9754,37.3255,Roanoke-Blacksburg Regional Airport (Woodrum Field)
ROC,-77.6724,43.1189,Greater Rochester International Airport
IAD,-77.4558,38.9445,Washington Dulles International Airport
ROW,-104.531,33.3016,Roswell International Air Center
RST,-92.5,43.9083,Rochester International Airport
RSW,-81.7552,26.5362,Southwest Florida International Airport
SAF,-106.089,35.6171,Santa Fe Municipal Airport
SAN,-117.19,32.7336,San Diego International Airport
HSV,-86.7751,34.6372,Huntsville International Airport (Carl T. Jones Field)
SAT,-98.4698,29.5337,San Antonio International Airport
SAV,-81.2021,32.1276,Savannah/Hilton Head International Airport
SBA,-119.84,34.4262,Santa Barbara Municipal Airport
HRL,-97.6544,26.2285,Valley International Airport
SCE,-77.8487,40.8493,University Park Airport
HPN,-73.7076,41.067,Westchester County Airport
SDF,-85.736,38.1744,Louisville International Airport (Standiford Field)
HOU,-95.2789,29.6454,William P. Hobby Airport
SEA,-122.309,47.449,Seattle-Tacoma International Airport
HOB,-103.217,32.6875,Lea County Regional Airport
SFB,-81.2375,28.7776,Orlando Sanford International Airport
HNL,-157.924,21.3206,Daniel K. Inouye International Airport
SFO,-122.375,37.619,San Francisco International Airport
SGF,-93.3886,37.2457,Springfield-Branson National Airport
AZO,-85.5521,42.2349,Kalamazoo/Battle Creek International Airport
SGU,-113.51,37.0364,St. George Regional Airport
HLN,-111.983,46.6068,Helena Regional Airport
SHR,-106.98,44.7692,Sheridan County Airport
SHV,-93.8256,32.4466,Shreveport Regional Airport
SJC,-121.929,37.3626,San Jose International Airport
BDL,-72.6833,41.9392,Bradley International Airport
IDA,-112.071,43.5136,Idaho Falls Regional Airport
MDW,-87.7525,41.7861,Chicago Midway International Airport
ORD,-87.9047,41.9786,Chicago O'Hare International Airport
BWI,-76.6683,39.1753,Baltimore/Washington International Airport
DTW,-83.3533,42.2125,Detroit Metro Wayne County Airport
EWR,-74.1686,40.6925,Newark Liberty International Airport
JFK,-73.7789,40.6397,John F. Kennedy International Airport
LGA,-73.875,40.775,LaGuardia Airport
DCA,-77.0378,38.8522,Ronald Reagan Washington National Airport
MVD,-56.0308,-34.8384,Carrasco Gral. Cesareo L. Berisso International Airport
TMJ,67.31,37.2867,Termez Airport
FEG,71.745,40.3588,Fergana International Airport
NVI,65.1708,40.1172,Navoi International Airport
NCU,59.6233,42.4884,Nukus Airport
AZN,72.294,40.7277,Andizhan Airport
BHK,64.4833,39.775,Bukhara International Airport
UGC,60.6417,41.5843,Urgench International Airport
NMA,71.5567,40.9846,Namangan Airport
SKD,66.9838,39.7005,Samarkand International Airport
KSQ,65.9215,38.8336,Karshi Airport
TAS,69.2812,41.2579,Tashkent International Airport
CCS,-66.9912,10.6012,Simon Bolivar International Airport
STT,-64.9734,18.3373,Cyril E. King Airport
HAN,105.807,21.2212,Noi Bai International Airport
SGN,106.652,10.8188,Tan Son Nhat International Airport
CXR,109.219,11.9982,Cam Ranh International Airport
DAD,108.199,16.0439,Da Nang International Airport
RIY,49.375,14.6626,Riyan International Airport
SAH,44.2197,15.4763,Sana'a International Airport (El Rahaba Airport)
ADE,45.0288,12.8295,Aden International Airport
DUR,31.1197,-29.6144,King Shaka International Airport
CPT,18.6017,-33.9648,Cape Town International Airport
JNB,28.246,-26.1392,O. R. Tambo International Airport
LUN,28.4526,-15.3308,Kenneth Kaunda International Airport
HRE,31.0928,-17.9318,Robert Gabriel Mugabe International Airport
